team,region,01/01/2010_date,01/01/2011_date,01/01/2012_date,01/01/2013_date,01/01/2014_date,01/01/2015_date,01/01/2016_date,01/01/2017_date,01/01/2018_date,01/01/2019_date,01/01/2020_date,01/01/2021_date,01/01/2022_date
Atlanta Hawks,Eastern,71469843,73669912,66710178,58998677,58320278,71661760,96315163,99992696,79180081,110702618,118804016,135166020,150757543
Boston Celtics,Eastern,82045867,79820530,75508399,70885503,62218516,77141919,93465326,115284776,125334993,117759332,132931565,136557646,178639335
Brooklyn Nets,Eastern,58495989,65281235,87644649,102589967,87817289,80258302,82391482,95475397,118850600,118889943,170444633,174811922,187611872
Charlotte Hornets,Eastern,66542696,57902024,58122566,60395651,66792937,76860006,103054004,117382664,121427859,96552033,108218809,122139566,122952257
Chicago Bulls,Eastern,54538076,69548447,74491280,73336893,67414682,87073838,92522306,90466801,112598201,112601901,128963580,136083814,150644803
Cleveland Cavaliers,Eastern,53990021,64875599,54472190,66654061,82592827,108300458,128522489,137722926,123255073,131059022,129605319,136385911,150510719
Dallas Mavericks,Western,85409890,77180233,69766571,75012158,84820225,75397067,102354966,85440245,86958881,120871082,127657823,126696965,168733618
Denver Nuggets,Western,68019290,58553173,63444254,65782065,56820307,72589023,83836460,107543599,118327016,128746180,129793210,137963926,162893770
Detroit Pistons,Eastern,65517821,70923605,68807497,62387432,67410675,77256014,106492988,119773191,126557932,104527576,117041599,131120355,124500866
Golden State Warriors,Western,68415336,61576901,70036985,72503122,73611166,93669566,101584835,137610134,146291276,129254928,171105334,178980766,193374102
Houston Rockets,Western,72315654,57021755,48048265,57823063,76849302,87504058,90956067,119905532,126474100,128109922,131784255,132267085,136736551
Indiana Pacers,Eastern,65088630,51554083,66107195,67182414,74793526,71605233,90279072,95271736,110724804,112872260,130237102,138181486,97936376
Los Angeles Clippers,Western,53225329,67333389,69152721,73049774,85259447,97019321,114756766,119093010,118026816,131506341,139722606,168378382,192300473
Los Angeles Lakers,Western,91428140,88264478,100131988,77423614,77546500,72694352,94781848,103126557,107225482,123971686,139334713,164409293,171178121
Memphis Grizzlies,Western,70241344,70628007,63054115,71992885,75158730,83223881,110083520,110700149,125188633,98495848,132022601,117284457,122391141
Miami Heat,Eastern,66205855,75469639,80427933,80841617,75813041,85764781,100740770,133624374,153171497,129867871,134731235,140840240,152191713
Milwaukee Bucks,Eastern,69076690,60192388,62410041,54400846,54473275,73843541,96245877,120521249,130988604,122612183,136623929,160875421,179886120
Minnesota Timberwolves,Western,53461123,56844339,64329748,68564040,69378954,72287243,83527580,116075131,121962221,114202982,130334934,137432702,149675772
New Orleans Pelicans,Western,68230729,65441008,64134537,67358651,80012866,83709371,101616451,120814452,116052756,117868297,133901495,135793968,147711891
New York Knicks,Eastern,67016562,77093212,79977119,89072787,81369219,74237021,102593418,105403130,123387454,100232129,102137151,120644081,144157479
Oklahoma City Thunder,Western,55922488,59501709,68924100,71653401,80408520,95708387,91230089,134534640,144916427,132017938,95774839,82022873,143405726
Orlando Magic,Eastern,90770804,87955505,66557496,56948031,59629210,63199651,104096951,98700258,114394213,126095610,121739163,126786646,122642062
Philadelphia 76ers,Eastern,68915246,66672368,66697839,51741312,54355571,64583220,84775343,100797386,115127167,129912339,147825311,148922969,152457779
Phoenix Suns,Western,65979054,80640576,54196264,55569468,58018672,68095365,89754590,92684083,108692835,98539675,128858241,136476474,168769404
Portland Trail Blazers,Western,74584058,80920717,59442596,61260350,69936842,61685814,119732234,118708146,130256600,131979953,131904647,124788473,150754415
Sacramento Kings,Western,45268465,48950236,54421935,59174155,73379071,70610560,95596327,99587185,101466920,113796966,106847430,130457848,134813254
San Antonio Spurs,Western,69522311,73732762,69838600,63115911,70770209,87832839,112017779,114633844,121588790,119217331,129537825,127655401,97516675
Toronto Raptors,Eastern,69992648,55063049,63708138,71561643,81317963,71591189,108599970,116929373,137793831,122463495,129131910,134896484,147880658
Utah Jazz,Western,75855296,58178016,65657569,56911999,60847538,63608425,80138192,105606838,113826156,118910311,136881324,149760719,144337887
Washington Wizards,Eastern,58324988,55386345,59715539,64698822,73372974,85055155,104016580,123306396,123747588,121296256,131294012,128019790,152008061