Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000,Pacers,1,0,0,240,32,76,0.421,5,14,0.357,18,23,0.783,6,30,36,16,6,5,14,23,87
2000,Pacers,2,0,0,240,33,88,0.375,5,20,0.25,33,39,0.846,13,33,46,19,5,5,4,38,104
2000,Pacers,3,1,1,240,36,78,0.462,7,18,0.389,21,24,0.875,9,30,39,14,8,3,12,19,100
2000,Pacers,4,0,1,265,42,84,0.5,10,19,0.526,24,28,0.857,9,30,39,22,5,3,12,28,118
2000,Pacers,5,1,1,240,39,68,0.574,10,20,0.5,32,36,0.889,6,40,46,26,7,4,14,24,120
2000,Pacers,6,0,0,240,36,77,0.468,12,25,0.48,27,32,0.844,9,32,41,24,2,6,9,27,111
2001,Sixers,1,1,0,265,40,83,0.482,4,11,0.364,23,25,0.92,11,31,42,21,10,8,18,21,107
2001,Sixers,2,0,0,240,34,87,0.391,6,15,0.4,15,26,0.577,14,28,42,16,9,5,11,23,89
2001,Sixers,3,0,1,240,33,80,0.413,2,12,0.167,23,30,0.767,13,29,42,17,5,6,14,22,91
2001,Sixers,4,0,1,240,33,77,0.429,1,6,0.167,19,30,0.633,8,29,37,15,9,1,9,27,86
2001,Sixers,5,0,1,240,37,90,0.411,4,15,0.267,18,26,0.692,20,31,51,23,6,4,10,32,96
2002,Nets,1,0,0,240,37,94,0.394,5,16,0.313,15,26,0.577,21,24,45,19,9,4,11,29,94
2002,Nets,2,0,0,240,30,86,0.349,6,22,0.273,17,27,0.63,20,23,43,18,11,5,13,27,83
2002,Nets,3,0,1,240,43,83,0.518,3,12,0.25,14,19,0.737,5,22,27,22,13,5,13,27,103
2002,Nets,4,0,1,240,45,92,0.489,4,9,0.444,13,16,0.813,14,27,41,27,5,4,8,22,107
2003,Nets,1,0,0,240,33,89,0.371,4,13,0.308,19,25,0.76,13,32,45,19,5,5,8,26,89
2003,Nets,2,1,0,240,35,83,0.422,4,11,0.364,13,16,0.813,15,24,39,16,9,5,13,21,87
2003,Nets,3,0,1,240,30,81,0.37,4,13,0.308,15,17,0.882,14,27,41,17,13,5,18,26,79
2003,Nets,4,1,1,240,28,78,0.359,1,9,0.111,20,29,0.69,19,34,53,19,5,13,16,22,77
2003,Nets,5,0,1,240,26,74,0.351,4,16,0.25,27,34,0.794,17,25,42,15,7,5,16,25,83
2003,Nets,6,0,0,240,30,87,0.345,6,21,0.286,11,13,0.846,8,27,35,14,8,5,11,25,77
2004,Lakers,1,0,1,240,29,73,0.397,3,13,0.231,14,18,0.778,13,24,37,15,8,4,15,25,75
2004,Lakers,2,1,1,265,38,80,0.475,6,17,0.353,17,25,0.68,9,29,38,28,7,3,14,27,99
2004,Lakers,3,0,0,240,27,74,0.365,6,27,0.222,8,13,0.615,7,32,39,19,7,4,16,28,68
2004,Lakers,4,0,0,240,33,78,0.423,3,16,0.188,11,22,0.5,9,29,38,23,4,1,10,35,80
2004,Lakers,5,0,0,240,31,75,0.413,4,16,0.25,21,33,0.636,14,22,36,18,10,2,11,27,87
2005,Pistons,1,0,0,240,29,77,0.377,1,6,0.167,10,14,0.714,11,24,35,15,12,10,12,19,69
2005,Pistons,2,0,0,240,33,82,0.402,0,6,0,10,16,0.625,18,27,45,17,5,2,13,25,76
2005,Pistons,3,1,1,240,40,85,0.471,3,14,0.214,13,17,0.765,17,27,44,22,12,10,11,18,96
2005,Pistons,4,1,1,240,41,90,0.456,2,9,0.222,18,23,0.783,13,34,47,23,13,6,3,22,102
2005,Pistons,5,0,1,265,37,84,0.44,2,9,0.222,19,23,0.826,16,26,42,17,7,11,11,20,95
2005,Pistons,6,1,0,240,37,79,0.468,8,17,0.471,13,19,0.684,13,27,40,19,6,8,5,21,95
2005,Pistons,7,0,0,240,31,74,0.419,2,14,0.143,10,14,0.714,8,26,34,17,8,6,6,24,74
2006,Mavericks,1,1,1,240,32,72,0.444,6,18,0.333,20,26,0.769,7,36,43,18,9,3,14,18,90
2006,Mavericks,2,1,1,240,34,70,0.486,8,19,0.421,23,28,0.821,9,37,46,23,5,5,18,27,99
2006,Mavericks,3,0,0,240,36,75,0.48,6,16,0.375,18,26,0.692,7,27,34,15,9,2,15,29,96
2006,Mavericks,4,0,0,240,25,79,0.316,3,22,0.136,21,27,0.778,11,25,36,10,6,3,13,24,74
2006,Mavericks,5,0,0,265,37,81,0.457,5,19,0.263,21,25,0.84,11,31,42,13,3,0,14,38,100
2006,Mavericks,6,0,1,240,34,92,0.37,5,22,0.227,19,23,0.826,16,34,50,16,12,7,13,28,92
2007,Cavaliers,1,0,0,240,30,70,0.429,5,15,0.333,11,15,0.733,9,23,32,9,8,2,11,16,76
2007,Cavaliers,2,0,0,240,33,81,0.407,7,19,0.368,19,29,0.655,13,29,42,15,5,2,11,19,92
2007,Cavaliers,3,0,1,240,29,79,0.367,3,19,0.158,11,15,0.733,15,33,48,19,7,5,12,17,72
2007,Cavaliers,4,0,1,240,32,84,0.381,7,22,0.318,11,16,0.688,12,30,42,23,5,2,10,24,82
2008,Lakers,1,0,0,240,32,77,0.416,3,14,0.214,21,28,0.75,7,26,33,21,8,2,8,29,88
2008,Lakers,2,0,0,240,41,83,0.494,10,21,0.476,10,10,1,11,25,36,20,8,1,13,28,102
2008,Lakers,3,1,1,240,30,69,0.435,6,14,0.429,21,34,0.618,9,35,44,17,4,6,12,23,87
2008,Lakers,4,0,1,240,32,77,0.416,6,21,0.286,21,29,0.724,10,31,41,23,6,3,12,23,91
2008,Lakers,5,1,1,240,36,79,0.456,8,27,0.296,23,31,0.742,10,30,40,19,11,7,17,28,103
2008,Lakers,6,0,0,240,27,64,0.422,10,27,0.37,28,38,0.737,2,27,29,16,4,0,19,25,92
2009,Magic,1,0,0,240,23,77,0.299,8,23,0.348,21,29,0.724,10,31,41,10,8,8,8,21,75
2009,Magic,2,0,0,265,33,79,0.418,10,30,0.333,20,27,0.741,10,34,44,22,5,6,20,24,96
2009,Magic,3,1,1,240,40,64,0.625,5,14,0.357,23,30,0.767,5,24,29,23,7,3,13,21,108
2009,Magic,4,0,1,265,31,74,0.419,7,21,0.333,22,37,0.595,7,34,41,17,4,10,17,21,91
2009,Magic,5,0,1,240,34,82,0.415,8,27,0.296,10,16,0.625,6,30,36,20,6,3,12,23,86
2010,Celtics,1,0,0,240,29,67,0.433,1,10,0.1,30,36,0.833,8,23,31,19,5,5,13,28,89
2010,Celtics,2,1,0,240,36,84,0.429,11,16,0.688,20,26,0.769,13,31,44,28,6,3,13,29,103
2010,Celtics,3,0,1,240,32,73,0.438,4,18,0.222,16,24,0.667,8,27,35,20,4,2,10,27,84
2010,Celtics,4,1,1,240,37,83,0.446,3,12,0.25,19,23,0.826,16,25,41,15,12,2,12,21,96
2010,Celtics,5,1,1,240,40,71,0.563,3,12,0.25,9,13,0.692,7,28,35,21,8,7,16,23,92
2010,Celtics,6,0,0,240,28,84,0.333,5,23,0.217,6,10,0.6,11,28,39,17,8,4,14,21,67
2010,Celtics,7,0,0,240,29,71,0.408,6,16,0.375,15,17,0.882,8,32,40,18,6,7,14,25,79
2011,Heat,1,1,1,240,31,80,0.388,11,24,0.458,19,26,0.731,16,30,46,20,5,4,10,21,92
2011,Heat,2,0,1,240,34,73,0.466,9,30,0.3,16,24,0.667,6,24,30,13,15,6,12,17,93
2011,Heat,3,1,0,240,34,78,0.436,8,19,0.421,12,15,0.8,9,27,36,20,8,5,10,27,88
2011,Heat,4,0,0,240,32,75,0.427,2,14,0.143,17,24,0.708,15,29,44,19,8,5,13,23,83
2011,Heat,5,0,0,240,37,70,0.529,8,20,0.4,21,26,0.808,9,27,36,25,5,4,16,26,103
2011,Heat,6,0,1,240,34,72,0.472,7,23,0.304,20,33,0.606,9,30,39,20,7,3,16,14,95
2012,Thunder,1,1,1,240,40,77,0.519,5,17,0.294,20,27,0.741,10,33,43,22,5,3,10,16,105
2012,Thunder,2,0,1,240,34,79,0.43,9,26,0.346,19,26,0.731,10,26,36,14,9,9,10,22,96
2012,Thunder,3,0,0,240,33,77,0.429,4,18,0.222,15,24,0.625,11,27,38,11,9,8,11,25,85
2012,Thunder,4,0,0,240,40,82,0.488,3,16,0.188,15,16,0.938,8,27,35,13,6,2,11,20,98
2012,Thunder,5,0,0,240,36,87,0.414,11,28,0.393,23,26,0.885,10,28,38,19,7,3,13,29,106
2013,Spurs,1,1,0,240,35,84,0.417,7,23,0.304,15,18,0.833,6,31,37,16,6,5,4,12,92
2013,Spurs,2,0,0,240,32,78,0.41,10,20,0.5,10,14,0.714,15,29,44,16,3,4,16,14,84
2013,Spurs,3,1,1,240,43,88,0.489,16,32,0.5,11,19,0.579,19,33,52,29,10,4,12,13,113
2013,Spurs,4,0,1,240,31,70,0.443,8,16,0.5,23,31,0.742,5,31,36,21,5,4,18,18,93
2013,Spurs,5,1,1,240,42,70,0.6,9,22,0.409,21,26,0.808,5,31,36,21,5,8,18,21,114
2013,Spurs,6,0,0,265,37,85,0.435,5,18,0.278,21,28,0.75,12,33,45,13,8,2,13,21,100
2013,Spurs,7,0,0,240,31,82,0.378,6,19,0.316,20,22,0.909,12,31,43,13,12,3,14,19,88
2014,Heat,1,0,0,240,37,78,0.474,12,29,0.414,9,11,0.818,7,22,29,16,14,2,16,21,95
2014,Heat,2,1,0,240,37,70,0.529,8,19,0.421,16,21,0.762,5,33,38,16,6,3,13,20,98
2014,Heat,3,0,1,240,32,62,0.516,10,21,0.476,18,24,0.75,5,21,26,17,8,1,20,26,92
2014,Heat,4,0,1,240,32,71,0.451,9,22,0.409,13,20,0.65,6,21,27,13,7,1,13,25,86
2014,Heat,5,0,0,240,30,75,0.4,7,25,0.28,20,27,0.741,5,36,41,14,5,4,10,23,87
2015,Cavaliers,1,0,0,265,39,94,0.415,9,31,0.29,13,19,0.684,13,32,45,19,10,5,11,20,100
2015,Cavaliers,2,1,0,265,29,90,0.322,9,27,0.333,28,40,0.7,14,41,55,14,11,3,13,24,95
2015,Cavaliers,3,1,1,240,35,76,0.461,9,21,0.429,17,24,0.708,6,37,43,15,9,8,14,16,96
2015,Cavaliers,4,0,1,240,29,88,0.33,4,27,0.148,20,28,0.714,16,33,49,16,2,3,9,19,82
2015,Cavaliers,5,0,0,240,32,81,0.395,12,35,0.343,15,21,0.714,10,27,37,17,10,4,10,28,91
2015,Cavaliers,6,0,1,240,32,82,0.39,6,26,0.231,27,39,0.692,16,40,56,14,3,7,16,26,97
2016,Warriors,1,1,1,240,43,87,0.494,9,27,0.333,9,10,0.9,9,32,41,29,9,4,9,16,104
2016,Warriors,2,1,1,240,44,81,0.543,15,33,0.455,7,10,0.7,12,34,46,26,7,9,20,20,110
2016,Warriors,3,0,0,240,32,76,0.421,9,33,0.273,17,26,0.654,8,24,32,21,5,4,18,23,90
2016,Warriors,4,1,0,240,33,81,0.407,17,36,0.472,25,31,0.806,14,29,43,23,7,6,8,22,108
2016,Warriors,5,0,1,240,32,88,0.364,14,43,0.326,19,26,0.731,13,30,43,18,6,9,17,21,97
2016,Warriors,6,0,0,240,33,82,0.402,15,39,0.385,20,29,0.69,9,26,35,19,5,3,14,25,101
2016,Warriors,7,0,1,240,32,83,0.386,15,41,0.366,10,13,0.769,7,32,39,22,7,5,10,23,89
2017,Cavaliers,1,0,0,240,30,86,0.349,11,31,0.355,20,25,0.8,15,44,59,15,0,6,20,23,91
2017,Cavaliers,2,0,0,240,45,100,0.45,8,29,0.276,15,19,0.789,10,31,41,27,15,1,9,18,113
2017,Cavaliers,3,0,1,240,40,90,0.444,12,44,0.273,21,25,0.84,10,27,37,17,9,3,12,25,113
2017,Cavaliers,4,1,1,240,46,87,0.529,24,45,0.533,21,31,0.677,11,30,41,27,6,3,11,24,137
2017,Cavaliers,5,0,0,240,47,88,0.534,11,24,0.458,15,23,0.652,12,28,40,22,6,5,14,22,120
2018,Cavaliers,1,0,0,265,44,99,0.444,10,37,0.27,16,22,0.727,19,34,53,18,5,3,11,18,114
2018,Cavaliers,2,0,0,240,37,90,0.411,9,27,0.333,20,26,0.769,16,26,42,25,9,4,10,15,103
2018,Cavaliers,3,0,1,240,40,92,0.435,9,31,0.29,13,17,0.765,15,32,47,20,6,4,13,18,102
2018,Cavaliers,4,0,1,240,30,87,0.345,8,27,0.296,17,25,0.68,17,27,44,21,5,5,11,22,85